"Date","All","Women","Men","Black","Hispanic","White","Black Women","Black Men","Hispanic Women","Hispanic Men","White Women","White Men"
"Sep-2024","0.6%","0.6%","0.7%","1.1%","0.7%","0.5%","1.1%","1.2%","0.7%","0.6%","0.4%","0.6%"
"Aug-2024","0.6%","0.6%","0.7%","1.1%","0.7%","0.5%","1.0%","1.2%","0.7%","0.6%","0.4%","0.6%"
"Jul-2024","0.6%","0.6%","0.7%","1.1%","0.7%","0.5%","1.0%","1.2%","0.7%","0.6%","0.4%","0.6%"
"Jun-2024","0.6%","0.6%","0.7%","1.1%","0.6%","0.5%","1.0%","1.2%","0.7%","0.6%","0.4%","0.6%"
"May-2024","0.6%","0.5%","0.7%","1.1%","0.6%","0.5%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%"
"Apr-2024","0.6%","0.5%","0.6%","1.1%","0.6%","0.5%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%"
"Mar-2024","0.6%","0.5%","0.6%","1.1%","0.6%","0.5%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%"
"Feb-2024","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%"
"Jan-2024","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%"
"Dec-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%"
"Nov-2023","0.6%","0.5%","0.6%","1.0%","0.6%","0.4%","1.0%","1.1%","0.6%","0.6%","0.4%","0.5%"
"Oct-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.1%","0.6%","0.6%","0.4%","0.5%"
"Sep-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.1%","0.6%","0.6%","0.4%","0.5%"
"Aug-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.1%","0.6%","0.6%","0.4%","0.5%"
"Jul-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.1%","1.1%","0.6%","0.6%","0.4%","0.4%"
"Jun-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.1%","1.1%","0.6%","0.6%","0.4%","0.5%"
"May-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.1%","1.0%","0.6%","0.6%","0.4%","0.5%"
"Apr-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.1%","1.1%","0.6%","0.6%","0.4%","0.5%"
"Mar-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.5%","1.1%","1.1%","0.6%","0.6%","0.4%","0.5%"
"Feb-2023","0.6%","0.6%","0.6%","1.1%","0.6%","0.5%","1.1%","1.1%","0.6%","0.7%","0.4%","0.5%"
"Jan-2023","0.6%","0.6%","0.7%","1.2%","0.7%","0.5%","1.2%","1.1%","0.7%","0.7%","0.4%","0.5%"
"Dec-2022","0.7%","0.6%","0.7%","1.2%","0.7%","0.5%","1.3%","1.2%","0.7%","0.7%","0.5%","0.6%"
"Nov-2022","0.7%","0.7%","0.7%","1.3%","0.8%","0.5%","1.4%","1.3%","0.8%","0.7%","0.5%","0.6%"
"Oct-2022","0.7%","0.7%","0.8%","1.4%","0.8%","0.6%","1.4%","1.4%","0.8%","0.8%","0.5%","0.6%"
"Sep-2022","0.8%","0.8%","0.8%","1.5%","0.9%","0.6%","1.5%","1.5%","0.9%","0.8%","0.6%","0.7%"
"Aug-2022","0.9%","0.8%","0.9%","1.6%","0.9%","0.7%","1.5%","1.7%","1.0%","0.9%","0.6%","0.7%"
"Jul-2022","1.0%","0.9%","1.0%","1.7%","1.0%","0.8%","1.6%","1.8%","1.1%","1.0%","0.7%","0.8%"
"Jun-2022","1.1%","1.0%","1.1%","1.9%","1.1%","0.9%","1.8%","2.0%","1.2%","1.1%","0.8%","0.9%"
"May-2022","1.2%","1.1%","1.2%","2.1%","1.3%","1.0%","1.9%","2.3%","1.4%","1.2%","0.9%","1.0%"
"Apr-2022","1.3%","1.3%","1.4%","2.2%","1.4%","1.0%","2.1%","2.4%","1.5%","1.4%","1.0%","1.1%"
"Mar-2022","1.4%","1.4%","1.5%","2.4%","1.6%","1.1%","2.2%","2.6%","1.7%","1.5%","1.1%","1.2%"
